record_type,age_category,gender,weight_class,snatch_record,cj_record,total_record,created_at
IWF,senior,men,60kg,141,174,307,2026-06-13 17:36:57.863650+00
IWF,senior,men,65kg,148,183,329,2026-06-13 17:36:57.863793+00
IWF,senior,men,71kg,160,197,351,2026-06-13 17:36:57.863918+00
IWF,senior,men,79kg,166,206,365,2026-06-13 17:36:57.864016+00
IWF,senior,men,88kg,182,220,397,2026-06-13 17:36:57.864100+00
IWF,senior,men,94kg,182,222,396,2026-06-13 17:36:57.864209+00
IWF,senior,men,110kg,196,237,428,2026-06-13 17:36:57.864286+00
IWF,senior,men,+110kg,218,261,477,2026-06-13 17:36:57.864364+00
IWF,senior,women,48kg,93,122,213,2026-06-13 17:36:59.937622+00
IWF,senior,women,53kg,99,126,223,2026-06-13 17:36:59.937765+00
IWF,senior,women,58kg,105,132,236,2026-06-13 17:36:59.937880+00
IWF,senior,women,63kg,112,143,254,2026-06-13 17:36:59.938003+00
IWF,senior,women,69kg,120,151,270,2026-06-13 17:36:59.938111+00
IWF,senior,women,77kg,123,155,278,2026-06-13 17:36:59.938209+00
IWF,senior,women,86kg,129,162,289,2026-06-13 17:36:59.938296+00
IWF,senior,women,+86kg,145,181,325,2026-06-13 17:36:59.938386+00
IWF,junior,women,48kg,87,114,201,2026-06-13 17:37:01.855119+00
IWF,junior,women,53kg,93,120,212,2026-06-13 17:37:01.855234+00
IWF,junior,women,58kg,101,125,225,2026-06-13 17:37:01.855311+00
IWF,junior,women,63kg,112,139,251,2026-06-13 17:37:01.855382+00
IWF,junior,women,69kg,110,138,245,2026-06-13 17:37:01.855451+00
IWF,junior,women,77kg,116,144,257,2026-06-13 17:37:01.855520+00
IWF,junior,women,86kg,123,152,271,2026-06-13 17:37:01.855594+00
IWF,junior,women,+86kg,143,180,320,2026-06-13 17:37:01.855662+00
IWF,junior,men,60kg,132,164,290,2026-06-13 17:37:03.791134+00
IWF,junior,men,65kg,139,173,308,2026-06-13 17:37:03.791249+00
IWF,junior,men,71kg,148,187,328,2026-06-13 17:37:03.791327+00
IWF,junior,men,79kg,160,196,351,2026-06-13 17:37:03.791399+00
IWF,junior,men,88kg,171,209,374,2026-06-13 17:37:03.791464+00
IWF,junior,men,94kg,177,216,387,2026-06-13 17:37:03.791530+00
IWF,junior,men,110kg,189,231,415,2026-06-13 17:37:03.791606+00
IWF,junior,men,+110kg,197,235,431,2026-06-13 17:37:03.791673+00
IWF,youth,men,56kg,113,141,252,2026-06-13 17:37:05.770597+00
IWF,youth,men,60kg,121,149,267,2026-06-13 17:37:05.770706+00
IWF,youth,men,65kg,131,158,285,2026-06-13 17:37:05.770789+00
IWF,youth,men,71kg,144,172,316,2026-06-13 17:37:05.770873+00
IWF,youth,men,79kg,151,182,333,2026-06-13 17:37:05.771043+00
IWF,youth,men,88kg,160,192,349,2026-06-13 17:37:05.771115+00
IWF,youth,men,94kg,164,199,361,2026-06-13 17:37:05.771182+00
IWF,youth,men,+94kg,169,218,382,2026-06-13 17:37:05.771248+00
IWF,youth,women,44kg,72,92,161,2026-06-13 17:37:07.597209+00
IWF,youth,women,48kg,78,97,173,2026-06-13 17:37:07.597319+00
IWF,youth,women,53kg,88,107,195,2026-06-13 17:37:07.597397+00
IWF,youth,women,58kg,91,112,201,2026-06-13 17:37:07.597469+00
IWF,youth,women,63kg,101,123,224,2026-06-13 17:37:07.597541+00
IWF,youth,women,69kg,101,127,225,2026-06-13 17:37:07.597609+00
IWF,youth,women,77kg,106,133,237,2026-06-13 17:37:07.597705+00
IWF,youth,women,+77kg,125,163,288,2026-06-13 17:37:07.597805+00
