sess,plat,gender,age_group,weight_category,age_group_weight_category,estimated_entry_totals_(min___max),meet
1,Red,F,OPEN,49kg & 53kg B,49kg & 53kg B,60-96,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
1,White,F,OPEN,57kg C,57kg C,49-100,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
1,Blue,M,OPEN,60kg & 65kg B,60kg & 65kg B,68-190,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
2,Red,M,OPEN,70kg B,70kg B,102-195,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
2,White,F,OPEN,57kg B,57kg B,100-118,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
2,Blue,M,OPEN,75kg D,75kg D,73-180,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
3,Red,F,OPEN,49kg & 53kg A,49kg & 53kg A,99-185,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
3,White,F,OPEN,69kg E,69kg E,50-110,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
3,Blue,M,OPEN,60kg & 65kg A,60kg & 65kg A,190-250,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
4,Red,F,OPEN,57kg A,57kg A,120-148,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
4,White,F,OPEN,69kg D,69kg D,110-130,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
4,Blue,F,OPEN,61kg D,61kg D,60-110,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
5,Red,M,OPEN,70kg A,70kg A,199-300,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
5,White,F,OPEN,69kg C,69kg C,130-150,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
5,Blue,F,OPEN,61kg C,61kg C,112-128,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
6,Red,M,OPEN,75kg C,75kg C,180-205,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
6,White,F,OPEN,69kg B,69kg B,150-165,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
6,Blue,F,OPEN,61kg B,61kg B,128-145,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
7,Red,M,OPEN,75kg B,75kg B,210-220,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
7,White,F,OPEN,69kg A,69kg A,165-215,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
7,Blue,F,OPEN,61kg A,61kg A,155-210,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
8,Red,F,U13,30kg-45kg,30kg-45kg,0-89,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
