id,date,session_id,start_time,weigh_in_time,platform,weight_class,meet
123,2026-09-11,1,08:00:00,06:00:00,Red,49kg & 53kg B,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
124,2026-09-11,1,08:00:00,06:00:00,White,57kg C,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
125,2026-09-11,1,08:00:00,06:00:00,Blue,60kg & 65kg B,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
126,2026-09-11,2,09:50:00,07:50:00,Red,70kg B,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
127,2026-09-11,2,09:50:00,07:50:00,White,57kg B,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
128,2026-09-11,2,09:50:00,07:50:00,Blue,75kg D,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
129,2026-09-11,3,11:40:00,09:40:00,Red,49kg & 53kg A,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
130,2026-09-11,3,11:40:00,09:40:00,White,69kg E,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
131,2026-09-11,3,11:40:00,09:40:00,Blue,60kg & 65kg A,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
132,2026-09-11,4,13:30:00,11:30:00,Red,57kg A,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
133,2026-09-11,4,13:30:00,11:30:00,White,69kg D,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
134,2026-09-11,4,13:30:00,11:30:00,Blue,61kg D,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
135,2026-09-11,5,15:20:00,13:20:00,Red,70kg A,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
136,2026-09-11,5,15:20:00,13:20:00,White,69kg C,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
137,2026-09-11,5,15:20:00,13:20:00,Blue,61kg C,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
138,2026-09-11,6,17:10:00,15:10:00,Red,75kg C,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
139,2026-09-11,6,17:10:00,15:10:00,White,69kg B,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
140,2026-09-11,6,17:10:00,15:10:00,Blue,61kg B,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
141,2026-09-11,7,19:00:00,17:00:00,Red,75kg B,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
142,2026-09-11,7,19:00:00,17:00:00,White,69kg A,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
143,2026-09-11,7,19:00:00,17:00:00,Blue,61kg A,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
144,2026-09-12,8,08:00:00,06:00:00,Red,30kg-45kg,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
145,2026-09-12,8,08:00:00,06:00:00,White,49kg-61+kg,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
146,2026-09-12,8,08:00:00,06:00:00,Blue,M U13 All,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
147,2026-09-12,9,09:50:00,07:50:00,Red,F 14-15yo All,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
148,2026-09-12,9,09:50:00,07:50:00,White,77kg F,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
149,2026-09-12,9,09:50:00,07:50:00,Blue,41kg-61kg,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
150,2026-09-12,10,11:40:00,09:40:00,Red,M 14-15yo All,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
151,2026-09-12,10,11:40:00,09:40:00,White,77kg E,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
152,2026-09-12,10,11:40:00,09:40:00,Blue,85kg E,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
153,2026-09-12,11,13:30:00,11:30:00,Red,75kg A,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
154,2026-09-12,11,13:30:00,11:30:00,White,77kg D,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
155,2026-09-12,11,13:30:00,11:30:00,Blue,85kg D,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
156,2026-09-12,12,15:20:00,13:20:00,Red,69kg-77+kg,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
157,2026-09-12,12,15:20:00,13:20:00,White,77kg C,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
158,2026-09-12,12,15:20:00,13:20:00,Blue,85kg C,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
159,2026-09-12,13,17:10:00,15:10:00,Red,55kg-75kg,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
160,2026-09-12,13,17:10:00,15:10:00,White,77kg B,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
161,2026-09-12,13,17:10:00,15:10:00,Blue,85kg B,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
162,2026-09-12,14,19:00:00,17:00:00,Red,85kg-95+kg,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
163,2026-09-12,14,19:00:00,17:00:00,White,77kg A,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
164,2026-09-12,14,19:00:00,17:00:00,Blue,85kg A,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
165,2026-09-13,15,08:00:00,06:00:00,Red,95kg E,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
166,2026-09-13,15,08:00:00,06:00:00,White,86kg D,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
167,2026-09-13,15,08:00:00,06:00:00,Blue,86+kg C,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
168,2026-09-13,16,09:50:00,07:50:00,Red,95kg D,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
169,2026-09-13,16,09:50:00,07:50:00,White,86kg C,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
170,2026-09-13,16,09:50:00,07:50:00,Blue,110kg C,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
171,2026-09-13,17,11:40:00,09:40:00,Red,95kg C,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
172,2026-09-13,17,11:40:00,09:40:00,White,86kg B,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
173,2026-09-13,17,11:40:00,09:40:00,Blue,110kg B,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
174,2026-09-13,18,13:30:00,11:30:00,Red,95kg B,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
175,2026-09-13,18,13:30:00,11:30:00,White,86+kg B,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
176,2026-09-13,18,13:30:00,11:30:00,Blue,86kg A,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
177,2026-09-13,19,15:20:00,13:20:00,Red,95kg A,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
178,2026-09-13,19,15:20:00,13:20:00,White,86+kg A,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
179,2026-09-13,19,15:20:00,13:20:00,Blue,110+kg B,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
180,2026-09-13,20,17:10:00,15:10:00,Red,110kg A,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
181,2026-09-13,20,17:10:00,15:10:00,White,110+kg A,"2026 Virus Weightlifting Series 2, Powered by Rogue Fitness"
