record_type,age_category,gender,weight_class,snatch_record,cj_record,total_record
UMWF,Masters 30,men,60kg,104,128,232
UMWF,Masters 30,men,65kg,79,105,184
UMWF,Masters 30,men,71kg,100,122,222
UMWF,Masters 30,men,79kg,108,134,241
UMWF,Masters 30,men,88kg,115,135,250
UMWF,Masters 30,men,94kg,126,145,271
UMWF,Masters 30,men,98kg,0,0,0
UMWF,Masters 30,men,110kg,121,147,268
UMWF,Masters 30,men,110+kg,150,199,349
UMWF,Masters 35,men,60kg,76,88,164
UMWF,Masters 35,men,65kg,105,120,225
UMWF,Masters 35,men,71kg,106,131,237
UMWF,Masters 35,men,79kg,120,146,266
UMWF,Masters 35,men,88kg,137,180,317
UMWF,Masters 35,men,94kg,151,183,334
UMWF,Masters 35,men,98kg,0,0,0
UMWF,Masters 35,men,110kg,148,177,325
UMWF,Masters 35,men,110+kg,176,205,381
UMWF,Masters 40,men,60kg,80,90,159
UMWF,Masters 40,men,65kg,80,103,183
UMWF,Masters 40,men,71kg,96,123,219
UMWF,Masters 40,men,79kg,121,144,265
UMWF,Masters 40,men,88kg,116,141,257
UMWF,Masters 40,men,94kg,122,143,265
UMWF,Masters 40,men,98kg,0,0,0
UMWF,Masters 40,men,110kg,124,162,286
UMWF,Masters 40,men,110+kg,135,160,290
UMWF,Masters 45,men,60kg,58,78,136
UMWF,Masters 45,men,65kg,74,95,169
UMWF,Masters 45,men,71kg,96,116,210
UMWF,Masters 45,men,79kg,100,125,225
UMWF,Masters 45,men,88kg,108,143,251
UMWF,Masters 45,men,94kg,115,145,258
UMWF,Masters 45,men,98kg,0,0,0
UMWF,Masters 45,men,110kg,128,148,276
UMWF,Masters 45,men,110+kg,125,128,253
UMWF,Masters 50,men,60kg,56,74,130
UMWF,Masters 50,men,65kg,64,85,149
UMWF,Masters 50,men,71kg,87,105,192
UMWF,Masters 50,men,79kg,88,108,186
UMWF,Masters 50,men,88kg,90,117,207
UMWF,Masters 50,men,94kg,90,120,210
UMWF,Masters 50,men,98kg,92,110,202
UMWF,Masters 50,men,110kg,98,135,231
UMWF,Masters 50,men,110+kg,125,142,267
UMWF,Masters 55,men,60kg,52,67,119
UMWF,Masters 55,men,65kg,86,111,197
UMWF,Masters 55,men,71kg,88,115,203
UMWF,Masters 55,men,79kg,83,105,183
UMWF,Masters 55,men,88kg,84,94,178
UMWF,Masters 55,men,94kg,108,130,238
UMWF,Masters 55,men,98kg,0,0,0
UMWF,Masters 55,men,110kg,105,125,230
UMWF,Masters 55,men,110+kg,95,125,220
UMWF,Masters 60,men,60kg,45,57,102
UMWF,Masters 60,men,65kg,48,62,110
UMWF,Masters 60,men,71kg,67,87,154
UMWF,Masters 60,men,79kg,85,115,200
UMWF,Masters 60,men,88kg,82,114,196
UMWF,Masters 60,men,94kg,91,115,206
UMWF,Masters 60,men,98kg,0,0,0
UMWF,Masters 60,men,110kg,85,110,195
UMWF,Masters 60,men,110+kg,82,105,187
UMWF,Masters 65,men,60kg,41,53,94
UMWF,Masters 65,men,65kg,49,59,108
UMWF,Masters 65,men,71kg,72,86,158
UMWF,Masters 65,men,79kg,72,100,172
UMWF,Masters 65,men,88kg,54,76,129
UMWF,Masters 65,men,94kg,51,64,115
UMWF,Masters 65,men,98kg,0,0,0
UMWF,Masters 65,men,110kg,54,68,122
UMWF,Masters 65,men,110+kg,82,100,182
UMWF,Masters 70,men,60kg,36,45,81
UMWF,Masters 70,men,65kg,43,48,91
UMWF,Masters 70,men,71kg,40,52,92
UMWF,Masters 70,men,79kg,50,65,115
UMWF,Masters 70,men,88kg,48,58,106
UMWF,Masters 70,men,94kg,44,57,101
UMWF,Masters 70,men,98kg,0,0,0
UMWF,Masters 70,men,110kg,50,68,118
UMWF,Masters 70,men,110+kg,48,61,109
UMWF,Masters 75,men,60kg,30,38,68
UMWF,Masters 75,men,65kg,36,41,77
UMWF,Masters 75,men,71kg,34,44,78
UMWF,Masters 75,men,79kg,56,73,129
UMWF,Masters 75,men,88kg,48,57,105
UMWF,Masters 75,men,94kg,42,49,90
UMWF,Masters 75,men,98kg,0,0,0
UMWF,Masters 75,men,110kg,40,51,91
UMWF,Masters 75,men,110+kg,41,52,93
UMWF,Masters 80,men,60kg,23,30,53
UMWF,Masters 80,men,65kg,26,33,59
UMWF,Masters 80,men,71kg,28,34,61
UMWF,Masters 80,men,79kg,29,38,67
UMWF,Masters 80,men,88kg,48,58,103
UMWF,Masters 80,men,94kg,31,40,71
UMWF,Masters 80,men,98kg,0,0,0
UMWF,Masters 80,men,110kg,32,41,73
UMWF,Masters 80,men,110+kg,33,41,74
UMWF,Masters 30,women,48kg,43,58,101
UMWF,Masters 30,women,53kg,76,91,167
UMWF,Masters 30,women,58kg,77,96,172
UMWF,Masters 30,women,63kg,87,114,199
UMWF,Masters 30,women,69kg,96,120,213
UMWF,Masters 30,women,77kg,113,143,256
UMWF,Masters 30,women,86kg,86,120,206
UMWF,Masters 30,women,86+kg,92,108,200
UMWF,Masters 35,women,48kg,54,72,126
UMWF,Masters 35,women,53kg,74,83,157
UMWF,Masters 35,women,58kg,67,84,150
UMWF,Masters 35,women,63kg,80,96,176
