record_type,age_category,gender,weight_class,snatch_record,cj_record,total_record
USAMW,Masters 35,women,49kg,45,55,0
USAMW,Masters 35,women,48kg,0,0,100
USAMW,Masters 35,women,53kg,70,93,163
USAMW,Masters 35,women,57kg,65,79,141
USAMW,Masters 35,women,61kg,63,81,141
USAMW,Masters 35,women,69kg,83,107,190
USAMW,Masters 35,women,77kg,88,116,204
USAMW,Masters 35,women,86kg,87,101,182
USAMW,Masters 35,women,86+kg,83,112,193
USAMW,Masters 40,women,53kg,64,81,145
USAMW,Masters 40,women,57kg,57,0,0
USAMW,Masters 40,women,61kg,75,91,166
USAMW,Masters 40,women,69kg,80,96,175
USAMW,Masters 40,women,77kg,90,111,201
USAMW,Masters 40,women,86kg,75,90,162
USAMW,Masters 40,women,86+kg,68,91,159
USAMW,Masters 45,women,49kg,44,55,0
USAMW,Masters 45,women,48kg,0,0,99
USAMW,Masters 45,women,53kg,57,75,130
USAMW,Masters 45,women,57kg,56,69,125
USAMW,Masters 45,women,61kg,61,79,139
USAMW,Masters 45,women,69kg,70,90,157
USAMW,Masters 45,women,77kg,72,86,158
USAMW,Masters 45,women,86kg,53,72,125
USAMW,Masters 45,women,86+kg,79,101,180
USAMW,Masters 50,women,49kg,52,68,0
USAMW,Masters 50,women,48kg,0,0,120
USAMW,Masters 50,women,53kg,58,74,132
USAMW,Masters 50,women,57kg,49,56,105
USAMW,Masters 50,women,61kg,50,65,115
USAMW,Masters 50,women,69kg,77,97,174
USAMW,Masters 50,women,77kg,75,91,166
USAMW,Masters 50,women,86kg,67,80,146
USAMW,Masters 50,women,86+kg,67,85,152
USAMW,Masters 55,women,49kg,35,49,0
USAMW,Masters 55,women,48kg,0,0,84
USAMW,Masters 55,women,53kg,41,54,95
USAMW,Masters 55,women,57kg,39,49,88
USAMW,Masters 55,women,61kg,49,61,104
USAMW,Masters 55,women,69kg,40,46,86
USAMW,Masters 55,women,77kg,60,78,137
USAMW,Masters 55,women,86kg,62,82,144
USAMW,Masters 55,women,86+kg,60,85,143
USAMW,Masters 60,women,53kg,43,53,94
USAMW,Masters 60,women,57kg,35,40,75
USAMW,Masters 60,women,61kg,35,49,84
USAMW,Masters 60,women,69kg,50,63,113
USAMW,Masters 60,women,77kg,49,64,113
USAMW,Masters 60,women,86kg,49,61,110
USAMW,Masters 60,women,86+kg,53,67,120
USAMW,Masters 65,women,49kg,35,41,0
USAMW,Masters 65,women,48kg,0,0,76
USAMW,Masters 65,women,53kg,30,41,71
USAMW,Masters 65,women,61kg,42,52,94
USAMW,Masters 65,women,69kg,43,56,98
USAMW,Masters 65,women,77kg,43,51,94
USAMW,Masters 65,women,86kg,33,53,85
USAMW,Masters 65,women,86+kg,34,43,77
USAMW,Masters 70,women,53kg,29,36,65
USAMW,Masters 70,women,57kg,25,35,60
USAMW,Masters 70,women,61kg,30,35,65
USAMW,Masters 70,women,69kg,48,60,108
USAMW,Masters 70,women,77kg,31,45,75
USAMW,Masters 75,women,53kg,26,34,60
USAMW,Masters 75,women,86+kg,19,26,45
